src,dst,length_km,n_rows,hotspot_rate,weight_km,penalty_km
14,LA Boundary,3.0,1152,0.0,3.0,0.0
2,4,6.8,1080,0.0,6.8,0.0
25,LA Boundary,8.5,1368,0.0,8.5,0.0
3,2,8.4,1080,0.0,8.4,0.0
4,3,2.9,1512,0.0,2.9,0.0
4,A4,1.6111111111111112,648,0.0,1.6111111111111112,0.0
4,A408,0.2,432,0.0,0.2,0.0
A1,A103,0.4,180,0.0,0.4,0.0
A1,A1200,0.8,216,0.0,0.8,0.0
A1,A410,2.4153846153846152,936,0.0,2.4153846153846152,0.0
A1,A5000,1.2,360,0.0,1.2,0.0
A1,A504,1.0,1152,0.0,1.0,0.0
A1/A5203,A103,0.3,180,0.0,0.3,0.0
A10,A1010,0.9375,576,0.0,0.9375,0.0
A10,A109,0.5,216,0.0,0.5,0.0
A10,A1202 Curtain Rd,0.3,324,0.0,0.3,0.0
A10 Rectory Rd,A107 Clapton Common,1.1,432,0.0,1.1,0.0
A10/A5201,A107,1.7,144,0.0,1.7,0.0
A100,Druid St,0.2,216,0.0,0.2,0.0
A100,LA Boundary,0.3,648,0.0,0.3,0.0
A100/A1210/A1211,Dock Street,0.4,180,0.0,0.4,0.0
A100/A2205,A2208,2.2,216,0.0,2.2,0.0
A100/A2206,A2198,0.2,288,0.0,0.2,0.0
A1003,A406(T),0.8,216,0.0,0.8,0.0
A1003,LA Boundary,2.4,576,0.0,2.4,0.0
A1004,A111,0.8,216,0.0,0.8,0.0
A1006,A112,1.7,288,0.0,1.7,0.0
A1009,A112,1.7,1440,1.0,5.1,3.3999999999999995
A1009  NEW  ROAD,A1037,1.925,288,0.0,1.925,0.0
A1009 Chingford Lane,A1009 Broadmead RD,0.2,360,0.0,0.2,0.0
A101,A1261,0.8,432,0.0,0.8,0.0
A101,A2208,0.8,432,0.0,0.8,0.0
A1010,A10,1.0,360,0.0,1.0,0.0
A1010,A109,0.6,144,0.0,0.6,0.0
A1011,A114,1.1,288,0.5652173913043478,2.3434782608695652,1.2434782608695651
A102/A2,A205,2.2,504,0.0,2.2,0.0
A1020,A13,1.7,144,0.0,1.7,0.0
A103,A105,0.7333333333333334,216,0.0,0.7333333333333334,0.0
A103 Hornsey rd,A503 Seven Sisters rd,0.8,216,0.0,0.8,0.0
A1037,A112,0.7,216,0.0,0.7,0.0
A1037  Waltham Way,A110   Lea Valley Road,0.4,288,0.0,0.4,0.0
A104,A1,0.8,216,0.0,0.8,0.0
A104,A1006/A112 triangle,1.6,360,0.0,1.6,0.0
A104,A107 Mare St,0.3,216,0.0,0.3,0.0
A104,A113,1.9,360,0.0,1.9,0.0
A104,A1201,0.8,288,0.0,0.8,0.0
A104,Evering Rd,1.3,288,0.0,1.3,0.0
A104 Islington Green,A1201 St Paul's Road,1.2,144,0.0,1.2,0.0
A104 roundabout,A10,2.225,576,0.0,2.225,0.0
A105,A10(T),1.7,1152,0.0,1.7,0.0
A105,A1004,1.9,288,0.0,1.9,0.0
A105,A1080,1.3,288,0.0,1.3,0.0
A105    London  Road,Cecil   Road,0.4,180,0.0,0.4,0.0
A1055,LA Boundary,1.3333333333333333,1512,0.0,1.3333333333333333,0.0
A1055,M25,0.4599999999999999,720,0.0,0.4599999999999999,0.0
A1055   Mollison Ave,A1010  Hertford Road High Street,1.1,432,0.0,1.1,0.0
A1055 Conduit Lane,A110,3.7,864,0.0,3.7,0.0
A106,A106,0.5,360,0.0,0.5,0.0
A106,A107,1.6,360,0.0,1.6,0.0
A106 Ruckholt Rd,A112,0.2,36,0.0,0.2,0.0
A107,A107,0.8,216,0.0,0.8,0.0
A107,A1205,0.8999999999999999,144,0.0,0.8999999999999999,0.0
A107,LA Boundary,0.3,360,0.0,0.3,0.0
A107 Lower Clapton Rd,LA Boundary,0.8,504,0.0,0.8,0.0
A107 Mare St,A102,0.3,288,0.0,0.3,0.0
A109,A10,0.7571428571428571,504,0.0,0.7571428571428571,0.0
A109,A109,0.1555555555555555,648,0.0,0.1555555555555555,0.0
A109,A110,2.1,576,0.0,2.1,0.0
A109,A1110,0.7,864,0.0,0.7,0.0
A11,A11,0.2,180,0.0,0.2,0.0
A11,A112,0.5,180,0.0,0.5,0.0
A11,A114,1.5833333333333333,432,0.0,1.5833333333333333,0.0
A11,B142,0.5,1296,0.0,0.5,0.0
A11,LA Boundary,1.4,360,0.0,1.4,0.0
A11 Great Eastern Rd,A112,0.8,72,0.0,0.8,0.0
A11 Great Eastern Rd,A112 Tramway Ave,0.2,216,0.0,0.2,0.0
A11 roundabout,A1009 Chingford Lane,0.3,576,0.0,0.3,0.0
A110,A1055,3.8,648,0.0,3.8,0.0
A110,A411,1.1,360,0.0,1.1,0.0
A110 Cecil Rd,A1005,0.8,144,0.0,0.8,0.0
A111,A1003,0.8999999999999999,288,0.0,0.8999999999999999,0.0
A111,A110 Cecil Rd/Sydney Rd roundabout,4.3,648,0.0,4.3,0.0
A111,A110 Cecil Rd/Sydney Road roundabout,4.3,72,0.0,4.3,0.0
A1112,A1112,0.4,288,0.0,0.4,0.0
A1112,A124 roundabout,4.1,936,0.0,4.1,0.0
A112,A104,2.06,1440,0.5217391304347826,4.2095652173913045,2.1495652173913045
A112,A106 Grove Green Rd,0.4,36,0.0,0.4,0.0
A112,A117,1.9555555555555555,1944,0.0,1.9555555555555555,0.0
A112,A118,2.0,288,0.0,2.0,0.0
A114,A117,1.6285714285714288,504,0.0,1.6285714285714288,0.0
A114,A12,0.8999999999999999,288,0.0,0.8999999999999999,0.0
A114,A124,0.8999999999999999,288,0.0,0.8999999999999999,0.0
A114,LA Boundary,1.5,360,0.0,1.5,0.0
A114 Whipps Cross Rd roundabout,Snaresbrook Rd,0.4,216,0.0,0.4,0.0
A114 Whipps Cross Road roundabout,Snaresbrook Rd,0.5,288,0.0,0.5,0.0
A116,A406,0.8999999999999999,576,0.0,0.8999999999999999,0.0
A117,A116,0.5,216,0.0,0.5,0.0
A117,A13(T),2.0,864,0.0,2.0,0.0
A117,A406(T),1.2333333333333332,432,0.0,1.2333333333333332,0.0
A118,A1011,0.8,216,0.0,0.8,0.0
A118,A116,0.8,288,0.0,0.8,0.0
A118,A12,1.009090909090909,792,0.0,1.009090909090909,0.0
A118,LA boundary,2.576923076923077,936,0.0,2.576923076923077,0.0
A1199,A503,2.2,288,0.0,2.2,0.0
A1199,LA Boundary,0.7,216,0.0,0.7,0.0
A12,A115,1.0,432,0.0,1.0,0.0
A12 roundabout,A113,0.3,288,0.0,0.3,0.0
A12(T),A118 roundabout,2.3,432,0.0,2.3,0.0
A12/A1400,LA Boundary,3.8,864,0.0,3.8,0.0
A1200,A1199,0.9,360,0.0,0.9,0.0
A1201,A103,1.4,576,0.0,1.4,0.0
A1201,A105,0.9,432,0.0,0.9,0.0
A1202,A10/A1208,0.2,288,0.0,0.2,0.0
A1202,A101/A126,1.9,1296,0.0,1.9,0.0
A1202,A1202,0.3,324,0.0,0.3,0.0
A1202,A1209,0.1,288,0.0,0.1,0.0
A1202/A13 mid-junction,A107,1.1,360,0.0,1.1,0.0
A1203,Cable Street,0.2,72,0.0,0.2,0.0
A1203,Ferry Street,2.82,360,0.0,2.82,0.0
A1205,A12,1.5,648,0.0,1.5,0.0
A1206,A102,0.2,720,0.0,0.2,0.0
A1206,A1203,0.5,504,0.5217391304347826,1.0217391304347827,0.5217391304347827
A1207,A107,0.8999999999999999,288,0.0,0.8999999999999999,0.0
A1208 Hackney Road,LA Boundary,0.2,288,0.0,0.2,0.0
A1209,A1208/A5201,0.3999999999999999,324,0.0,0.3999999999999999,0.0
A1211,LA Boundary,0.5499999999999999,432,0.0,0.5499999999999999,0.0
A123,A1153,3.7,720,0.0,3.7,0.0
A123,Griggs Approach roundabout,0.6333333333333333,432,0.0,0.6333333333333333,0.0
A124,A118,2.1,360,0.0,2.1,0.0
A124,A13(T),2.1166666666666667,432,0.5217391304347826,4.32536231884058,2.208695652173913
A124 London Rd,St. Pauls Road,1.1,288,0.0,1.1,0.0
A1240,A1112/A1083,0.6,432,0.0,0.6,0.0
A125,A118/A127,3.2,1296,0.0,3.2,0.0
A125,A125,0.4444444444444444,648,0.0,0.4444444444444444,0.0
A1251,A118,0.6,504,0.0,0.6,0.0
A126,A101,0.2,288,0.0,0.2,0.0
A1261,A1206,1.3,288,0.0,1.3,0.0
A1261,A13,0.5249999999999999,576,0.0,0.5249999999999999,0.0
A1263,Aspen Way tunnel,0.2,720,0.0,0.2,0.0
A13,A11,2.1,1152,0.5217391304347826,4.291304347826087,2.191304347826087
A13,A124,1.5,288,0.0,1.5,0.0
A13,Victoria Dock Rd,0.8,216,0.0,0.8,0.0
A13(T)/A123,A124,2.8,432,0.0,2.8,0.0
A13/A1261,A11,1.6,288,0.0,1.6,0.0
A1306,A1112,1.9,504,0.0,1.9,0.0
A1306,A124,2.8,432,0.0,2.8,0.0
A1400/A123 Rndbt - Cranbrook Road,LA boundary,4.9,1440,0.0,4.9,0.0
A167,LA Boundary,1.7200000000000002,720,0.0,1.7200000000000002,0.0
A2,A2205,0.8,432,0.0,0.8,0.0
A2,A2206,0.4,360,0.0,0.4,0.0
A2,A2211,0.8,288,0.0,0.8,0.0
A2,A300,0.3,360,0.0,0.3,0.0
A2,A3200,0.5,360,0.0,0.5,0.0
A2,LA Boundary,0.6,288,0.0,0.6,0.0
A2 Amersham Rd,A2209,0.6,432,0.0,0.6,0.0
A2 Lewisham Way,A2 Amersham Rd,0.2,180,0.0,0.2,0.0
A2 Parkfield Rd,A2 New Cross Rd,0.1,72,0.0,0.1,0.0
A2 Parkfield rd,A2 New Cross Rd,0.1,180,0.0,0.1,0.0
A2(T) main route,A220,0.2,288,0.0,0.2,0.0
A2/A2209,A20 Loampit Vale,1.4666666666666668,216,0.0,1.4666666666666668,0.0
A20,A20,0.1,36,0.0,0.1,0.0
A20,LA Boundary,0.6333333333333333,216,0.0,0.6333333333333333,0.0
A20 Amersham Rd,A2 Parkfield Rd,0.2,36,0.0,0.2,0.0
A20(T),A2001,0.6399999999999999,360,0.0,0.6399999999999999,0.0
A200,A200,0.175,576,0.0,0.175,0.0
A200,LA Boundary,0.5666666666666667,1728,0.0,0.5666666666666667,0.0
A200 Jamaica St,A100,0.3,216,0.0,0.3,0.0
A200 Tooley St,B202,0.4,216,0.0,0.4,0.0
A2001,A211,0.3,216,0.0,0.3,0.0
A2001,A224,1.2,288,0.0,1.2,0.0
A201,A1,0.7285714285714285,504,0.0,0.7285714285714285,0.0
A201,A300,0.2,288,0.0,0.2,0.0
A2015,A2218,0.2,432,0.0,0.2,0.0
A2016,Crossway roundabout,1.4333333333333331,216,0.0,1.4333333333333331,0.0
A2018,A222,0.4,360,0.0,0.4,0.0
A202 Clayton Rd,A2214 Lausanne rd,0.9,432,0.0,0.9,0.0
A202/A203,A3203,0.8999999999999999,576,0.0,0.8999999999999999,0.0
A202/A203,A3204 Durham St,0.2,144,0.0,0.2,0.0
A2022,A2039,4.0,648,0.0,4.0,0.0
A2022,A22,0.3249999999999999,144,0.0,0.3249999999999999,0.0
A203,A202,1.5153846153846156,936,0.0,1.5153846153846156,0.0
A203,A203,0.2,288,0.0,0.2,0.0
A203 Stockwell Rd,A23 Brixton Rd,0.2,108,0.0,0.2,0.0
A2039 Park Hill Rd,A212 Park Lane,0.5,360,0.0,0.5,0.0
A204/A2217,A203,0.4,288,0.0,0.4,0.0
A2041,A2016,4.1,432,0.0,4.1,0.0
A2043,A238,0.2,216,0.0,0.2,0.0
A2043,A298,0.6,1296,0.0,0.6,0.0
A205,A20,2.2,720,0.0,2.2,0.0
A205,A208,1.8,864,0.0,1.8,0.0
A205,A21,0.2,144,0.0,0.2,0.0
A205,A218,0.3142857142857143,504,0.0,0.3142857142857143,0.0
A205,A2213,0.4,360,0.0,0.4,0.0
A205,A3,1.0,576,0.0,1.0,0.0
A205,A315,1.6,216,0.0,1.6,0.0
A205,A3209,0.5,288,0.0,0.5,0.0
A205,A3216,0.6,288,0.0,0.6,0.0
A205,Morval Rd roundabout,1.9,144,0.0,1.9,0.0
A205,Morval Road roundabout,2.1,144,0.0,2.1,0.0
A205 Clapham Common West Side,A3 Clapham Common North Side,0.14,180,0.0,0.14,0.0
A205 Grand Depot Rd,A2204,0.8,360,0.0,0.8,0.0
A205 John Wilson St,A206,0.7,144,0.0,0.7,0.0
A205 Plassy Road,A2212,2.2,432,0.0,2.2,0.0
A205/A20,A210,0.6428571428571429,504,0.0,0.6428571428571429,0.0
A206,A200 Creek Rd/Romney Rd,0.5,216,0.0,0.5,0.0
A206,Bugsby's Way,0.8999999999999999,144,0.0,0.8999999999999999,0.0
A206,LA Boundary,1.6,360,0.0,1.6,0.0
A206 Pettman Crescent,A206 Pettman Crescent,0.2,360,0.0,0.2,0.0
A206 Pettman Crescent,A209,1.3,216,0.0,1.3,0.0
A207,A206,1.6,288,0.0,1.6,0.0
A207,A220,0.4,216,0.0,0.4,0.0
A207 Albion Rd,A207 Arnsberg Way,0.7,216,0.0,0.7,0.0
A207 Roman Way,A2000,0.1,72,0.0,0.1,0.0
A207 Roman Way,LA Boundary,0.7,360,0.0,0.7,0.0
A207 Shooters Hill Rd,A205 John Wilson St,1.9,504,0.0,1.9,0.0
A208,A211,0.6,216,0.0,0.6,0.0
A21,A223,3.5,648,0.0,3.5,0.0
A21,A232,2.8,504,0.6086956521739131,6.208695652173913,3.408695652173913
A21,LA Boundary,2.3,576,0.0,2.3,0.0
A210,A2,0.7285714285714285,504,0.0,0.7285714285714285,0.0
A211,A221,2.4,432,0.0,2.4,0.0
A211 Maidstone Rd,A2018,3.3,720,0.0,3.3,0.0
A212,A205,1.6,288,0.0,1.6,0.0
A212,A21,1.8,648,0.0,1.8,0.0
A212,A212,0.5,216,0.0,0.5,0.0
A212,A214,2.0,576,0.0,2.0,0.0
A212,A215,2.2,216,0.0,2.2,0.0
A212,A222,0.5,504,0.0,0.5,0.0
A212,A222 Cherry Orchard Rd,1.0,432,0.0,1.0,0.0
A212 Church Road,A212 Grange Road,0.1,216,0.0,0.1,0.0
A212 Coombe Rd,A232 Croydon Flyover,0.55,288,0.0,0.55,0.0
A213,A212,2.0,576,0.0,2.0,0.0
A213,A215,2.8,720,0.0,2.8,0.0
A213,A2218,1.2,432,0.0,1.2,0.0
A213 Sunny Bank,LA Boundary,0.4,288,0.0,0.4,0.0
A214,A216,0.2,288,0.0,0.2,0.0
A214,A234,1.3,288,0.0,1.3,0.0
A214,LA Boundary,2.1,432,0.0,2.1,0.0
A214 Crown Dale,A215 Ernest Ave,0.8,216,0.0,0.8,0.0
A214/A216,A205,1.9,648,0.5652173913043478,4.047826086956521,2.147826086956521
A215,A213 Penge Rd,0.4,216,0.0,0.4,0.0
A215,A213 Sunny Bank,0.3,216,0.0,0.3,0.0
A215,A215,0.3,288,0.0,0.3,0.0
A215,B232,0.6,288,0.0,0.6,0.0
A215,Rye Lane,1.7,504,0.0,1.7,0.0
A217,A217,0.175,720,0.0,0.175,0.0
A217,A3207,1.4,792,0.0,1.4,0.0
A217,LA Boundary,0.9636363636363636,792,0.5217391304347826,1.9691699604743085,1.0055335968379449
A217/A218,A217,0.15,216,0.0,0.15,0.0
A217/A3,A217,0.2,108,0.0,0.2,0.0
A219,A205,1.75,576,0.0,1.75,0.0
A219,A217,1.5,360,0.0,1.5,0.0
A219,A218,0.4,216,0.0,0.4,0.0
A219,A3,1.1,216,0.0,1.1,0.0
A219,A3219,0.4,216,0.0,0.4,0.0
A219,A3220,0.5,252,0.0,0.5,0.0
A219,A3220 Holland Rd roundabout,0.6,108,0.0,0.6,0.0
A219,A3220 Holland Road roundabout,0.6,216,0.0,0.6,0.0
A219,LA Boundary,1.1,1152,0.0,1.1,0.0
A219,La Boundary,1.7,360,0.0,1.7,0.0
A219/A4,LA Boundary,1.32,360,0.0,1.32,0.0
A2198,A200,0.5,144,0.0,0.5,0.0
A2198,Druid St,0.4,360,0.0,0.4,0.0
A2199,A2216,1.7999999999999998,576,0.0,1.7999999999999998,0.0
A22,A23 Foxley Lane,0.2,180,0.0,0.2,0.0
A22,A236,3.5166666666666666,864,0.0,3.5166666666666666,0.0
A22,B269,2.8,288,0.0,2.8,0.0
A220,A223,1.4,216,0.0,1.4,0.0
A2204,A205,0.8,360,0.0,0.8,0.0
A2205/A2206,B202,0.2,360,0.0,0.2,0.0
A2208,LA Boundary,0.3,216,0.0,0.3,0.0
A2209,A2211/A206,1.0,216,0.0,1.0,0.0
A2209,LA Boundary,0.1,432,0.0,0.1,0.0
A221,A206,3.4,432,0.0,3.4,0.0
A221,A223,2.4,1656,0.0,2.4,0.0
A221 Danson Underpass roundabout,A207,1.1,576,0.0,1.1,0.0
A221 Penhill Rd roundabout,A2,0.3,216,0.0,0.3,0.0
A221 Penhill Road roundabout,A2,0.3,72,0.0,0.3,0.0
A2211,A2212,1.8,504,0.0,1.8,0.0
A2211,A2213,2.6,720,0.0,2.6,0.0
A2211/A200,A2203,1.4,504,0.0,1.4,0.0
A2212,LA Boundary,0.85,1152,0.0,0.85,0.0
A2213,A102,0.2166666666666666,432,0.0,0.2166666666666666,0.0
A2213 Kidbrooke Park Rd,A2(T),0.2,288,0.0,0.2,0.0
A2214,A2214,0.1,576,0.0,0.1,0.0
A2214 Lausanne Rd,A202 Kender St,0.1,216,0.0,0.1,0.0
A2216,A213,0.2,432,0.0,0.2,0.0
A2216,Catford Rd,2.1,504,0.0,2.1,0.0
A2217,A202,0.2,288,0.0,0.2,0.0
A2218,A205,1.9,576,0.0,1.9,0.0
A222,A123,1.6,288,0.0,1.6,0.0
A222,A2001,0.4,144,0.0,0.4,0.0
A222,A210,1.1,360,0.0,1.1,0.0
A222,A211,0.4,288,0.0,0.4,0.0
A222,A212,0.6,216,0.0,0.6,0.0
A222,A213,1.7,360,0.0,1.7,0.0
A222,A2212,0.5,360,0.0,0.5,0.0
A222,A232 High St,3.7,648,0.0,3.7,0.0
A222,LA Boundary,2.2,432,0.0,2.2,0.0
A222 Cherry Orchard Rd,A215,1.7,360,0.0,1.7,0.0
A223,A222,4.7,720,0.0,4.7,0.0
A223,LA Boundary,1.3,1224,0.0,1.3,0.0
A223,Roman Way,0.3,288,0.0,0.3,0.0
A224/A20,A211,1.1,648,0.0,1.1,0.0
A23,A204/A215 roundabout,1.4,360,0.0,1.4,0.0
A23,A213,1.3,288,0.0,1.3,0.0
A23,A215,1.7,432,0.0,1.7,0.0
A23,A232 Stafford Rd,0.2,36,0.0,0.2,0.0
A23,A301,0.5,432,0.0,0.5,0.0
A23,A302,0.3,360,0.0,0.3,0.0
A23,A3204,0.9,432,0.0,0.9,0.0
A23,LA Boundary,1.9833333333333332,864,0.0,1.9833333333333332,0.0
A23 Foxley Lane,A232,2.9,648,0.0,2.9,0.0
A232,A21,1.4,216,0.0,1.4,0.0
A232,A213,1.5,648,0.0,1.5,0.0
A232,A222,0.9,360,0.0,0.9,0.0
A232,A223,1.2,288,0.0,1.2,0.0
A232,A23,2.1,648,0.0,2.1,0.0
A232,A24,1.7,360,0.0,1.7,0.0
A232,B278,3.4153846153846152,936,0.0,3.4153846153846152,0.0
A232,LA Boundary,2.6,504,0.0,2.6,0.0
A232,Station Rd,1.0142857142857142,504,0.0,1.0142857142857142,0.0
A232 Stafford Rd,A232 Epsom Rd,0.2,144,0.0,0.2,0.0
A233,A21,1.0,288,0.0,1.0,0.0
A234,A2015,0.5,288,0.0,0.5,0.0
A234,A2216,1.0,360,0.0,1.0,0.0
A234,LA Boundary,1.3,216,0.0,1.3,0.0
A235,A222,0.3,216,0.0,0.3,0.0
A235,LA Boundary,2.4,576,0.0,2.4,0.0
A236,A212,0.6,648,0.0,0.6,0.0
A236,A216,0.7,432,0.0,0.7,0.0
A236,A238,0.3,288,0.0,0.3,0.0
A237,A23,1.9,360,0.0,1.9,0.0
A237,A239,0.2,288,0.0,0.2,0.0
A237,LA Boundary,2.3,792,0.0,2.3,0.0
A238,A24,0.4,288,0.0,0.4,0.0
A238,LA Boundary,2.91,720,0.0,2.91,0.0
A238 spur,A308,2.3,1512,0.0,2.3,0.0
A239,A236,0.6,216,0.0,0.6,0.0
A239 Cranmer rd,A236,0.3,288,0.0,0.3,0.0
A239 Madeira Rd,A237,0.6,216,0.0,0.6,0.0
A24,A2217,0.1,360,0.0,0.1,0.0
A24,A3,4.2,864,0.0,4.2,0.0
A24,LA Boundary,1.6,864,0.0,1.6,0.0
A24 Priory Rd,LA Boundary,0.8,360,0.0,0.8,0.0
A240 Warren Drive North,A2043,2.1,1584,0.5217391304347826,4.291304347826087,2.191304347826087
A243,A240,1.9,1368,0.0,1.9,0.0
A243,A3(T),0.3,144,0.0,0.3,0.0
A243,B3365,1.2,288,0.0,1.2,0.0
A244,A3063,1.9,576,0.0,1.9,0.0
A244,A315,0.7,288,0.0,0.7,0.0
A297,A217,1.2,288,0.0,1.2,0.0
A298,A219,1.9,432,0.0,1.9,0.0
A3,A205 The Avenue,0.5,216,0.0,0.5,0.0
A3,A23/A204,1.7,504,0.0,1.7,0.0
A3,A3207,1.0,360,0.0,1.0,0.0
A3,London Wall,0.7,288,0.0,0.7,0.0
A3 Marcilly rd,B229,0.8999999999999999,288,0.0,0.8999999999999999,0.0
A3 North Side Wandsworth Common,A3036 East Hill,0.2,252,0.0,0.2,0.0
A3 Wandsworth High St,A217 Armoury Way,0.24,180,0.0,0.24,0.0
A3(T),A238,2.0,504,0.0,2.0,0.0
A3(T),B306,2.6,432,0.0,2.6,0.0
A3/A2198,A201/A100,0.9142857142857144,504,0.0,0.9142857142857144,0.0
A300,A3,0.2,288,0.0,0.2,0.0
A3000,A316,0.8,216,0.0,0.8,0.0
A3000,A4,0.3,360,0.0,0.3,0.0
A3002,A205,1.5,288,0.0,1.5,0.0
A3002,A4001,0.3,288,0.0,0.3,0.0
A3002,M4 J2,1.36,720,0.0,1.36,0.0
A3003,LA Boundary,1.0,720,0.5217391304347826,2.0434782608695654,1.0434782608695654
A3004,A315,1.2,432,0.0,1.2,0.0
A3005,A3063,0.7333333333333334,216,0.0,0.7333333333333334,0.0
A3005,A310,2.5,1080,0.0,2.5,0.0
A3005,A4127 Greenford Rd,1.4,720,0.0,1.4,0.0
A3006,A3063,1.5,504,0.0,1.5,0.0
A3006,A4,1.0,216,0.0,1.0,0.0
A3008,A3008,0.8,216,0.0,0.8,0.0
A3008,A311,0.2,360,0.0,0.2,0.0
A302,A201/A3202,0.3,36,0.0,0.3,0.0
A302,A201/A3203,0.4,180,0.0,0.4,0.0
A302,A3202,0.2,288,0.0,0.2,0.0
A302,A3214,0.2,288,0.0,0.2,0.0
A302,Northumberland Ave,0.8,720,0.0,0.8,0.0
A302 Garden Row,A3203,0.2,252,0.0,0.2,0.0
A302 StGeorges Rd,A201 London Rd,0.2,108,0.0,0.2,0.0
A3031,A3205,0.1,288,0.0,0.1,0.0
A3036,A203,0.2,288,0.0,0.2,0.0
A3036,A3205,1.3,288,0.0,1.3,0.0
A304,A308,0.3,432,0.0,0.3,0.0
A3044,A3044,1.2,576,0.0,1.2,0.0
A3044,M4,0.6,288,0.0,0.6,0.0
A305,A305,0.2428571428571428,252,0.0,0.2428571428571428,0.0
A305,A316,0.85,432,0.0,0.85,0.0
A305,B306,2.3,504,0.0,2.3,0.0
A305 Paradise Rd,A205,1.7,360,0.0,1.7,0.0
A305 Paradise Rd,A307,0.3,216,0.0,0.3,0.0
A306,A219,0.7,144,0.0,0.7,0.0
A3063,LA Boundary,0.8,432,0.0,0.8,0.0
A307,A2043,0.3,288,0.0,0.3,0.0
A307,A307,0.2,180,0.0,0.2,0.0
A307,A316,1.8,216,0.0,1.8,0.0
A307 Kingsgate Rd,LA Boundary,2.0,504,0.0,2.0,0.0
A307 Richmond Rd/Eden St,A307 Fairfield North/London Rd,0.5,252,0.0,0.5,0.0
A308,A3008,0.3,216,0.0,0.3,0.0
A308,A311,0.3333333333333333,216,0.0,0.3333333333333333,0.0
A308,A313,2.2,432,0.0,2.2,0.0
A308,A315/A3216,0.9,504,0.0,0.9,0.0
A308 Kings Rd,A3220 Edith Grove,0.3,144,0.0,0.3,0.0
A308 Sopwith rd,A307 Kingsagte Rd,0.1,108,0.0,0.1,0.0
A309,A305,0.7,288,0.0,0.7,0.0
A310,A3004,0.6538461538461539,936,0.0,0.6538461538461539,0.0
A311,A310,0.7,288,0.0,0.7,0.0
A312,A244,0.5,216,0.0,0.5,0.0
A312,A30,0.6571428571428571,504,0.0,0.6571428571428571,0.0
A312,A311,0.9,216,0.0,0.9,0.0
A312,A312,4.046153846153846,936,0.0,4.046153846153846,0.0
A312,A313,0.9,216,0.0,0.9,0.0
A312,A4005,0.1,288,0.0,0.1,0.0
A312,A4020,4.7,792,0.0,4.7,0.0
A312,A404,3.5,792,0.0,3.5,0.0
A312,A4127,2.3,1584,0.0,2.3,0.0
A312,B458,0.7,360,0.0,0.7,0.0
A312,LA Boundary,1.088888888888889,648,0.0,1.088888888888889,0.0
A313,A305,2.1,288,0.0,2.1,0.0
A313,A309,1.4,288,0.0,1.4,0.0
A313,A310,1.6,216,0.0,1.6,0.0
